district,total
서울특별시 강남구,0.6176952
서울특별시 강동구,0.5306985
서울특별시 강북구,0.40221
서울특별시 강서구,0.4349695
서울특별시 관악구,0.4534047
서울특별시 광진구,0.5826065
서울특별시 구로구,0.3623877
서울특별시 금천구,0.4686307
서울특별시 노원구,0.4872458
서울특별시 도봉구,0.5233482
서울특별시 동대문구,0.7159784
서울특별시 동작구,0.4715972
서울특별시 마포구,0.5448128
서울특별시 서대문구,0.61651
서울특별시 서초구,0.4896644
서울특별시 성동구,0.619535
서울특별시 성북구,0.5588636
서울특별시 송파구,0.6357929
서울특별시 양천구,0.4196411
서울특별시 영등포구,0.5521464
서울특별시 용산구,0.6615
서울특별시 은평구,0.5255145
서울특별시 종로구,0.6755488
서울특별시 중구,0.8113926
서울특별시 중랑구,0.4919938