district,종합소득액,1인당 종합소득액
서울특별시강남구,"14,162,904",112238314.9
서울특별시강동구,"2,142,585",28526721.52
서울특별시강북구,"896,816",18485715.46
서울특별시강서구,"2,520,862",26078062.61
서울특별시관악구,"1,844,461",20891885.46
서울특별시광진구,"2,049,636",31356301.44
서울특별시구로구,"1,675,327",23893988.45
서울특별시금천구,"802,258",19323602.38
서울특별시노원구,"1,911,055",24424613.06
서울특별시도봉구,"1,109,869",21117434.4
서울특별시동대문구,"1,438,726",24322113.84
서울특별시동작구,"2,058,652",29992890.24
서울특별시마포구,"2,661,136",37440184.59
서울특별시서대문구,"1,643,742",30777074.6
서울특별시서초구,"9,564,642",99171984.03
서울특별시성동구,"2,316,783",41542487.76
서울특별시성북구,"2,645,678",35614279.75
서울특별시송파구,"6,087,546",48153726.89
서울특별시양천구,"3,359,932",42528093.16
서울특별시영등포구,"2,607,977",36814514.19
서울특별시용산구,"5,650,993",119650913.6
서울특별시은평구,"1,747,353",22676404.17
서울특별시종로구,"1,963,230",66460054.16
서울특별시중구,"1,188,870",46640643.39
서울특별시중랑구,"1,221,007",18729112.02
부산광역시강서구,"652,818",33997396.1
부산광역시금정구,"1,117,220",33639046.13
부산광역시기장군,"477,428",23075302.08
부산광역시남구,"1,276,082",34106160.63
부산광역시동구,"231,223",21782666.04
부산광역시동래구,"1,221,997",31900096.59
부산광역시부산진구,"1,270,147",26346678.01
부산광역시북구,"1,003,790",26966929.05
부산광역시사상구,"626,074",22822761.74
부산광역시사하구,"889,686",23162874.25
부산광역시서구,"367,554",28316949.15
부산광역시수영구,"810,684",30278777.92
부산광역시연제구,"869,493",29992859.61
부산광역시영도구,"280,950",21337434.5
부산광역시중구,"117,035",20795131.49
부산광역시해운대구,"3,248,905",53694696.48
제주특별자치도서귀포시,"650,487",29022754.65
제주특별자치도제주시,"1,941,876",30125287